"no","name","review","rating","link","respon"
"1","CHARM EAU DE TOILETTE","Baunya fuity dan floral sih, pertama cium sih bau rasberi sama melon, trus packaging nya lucuu,","5","https://shp.ee/2ktwuwx ","puas"
"2","CHARM EAU DE TOILETTE","Sdh diterima dgn baik, packing rapi, aman, barang lengkap. Pengiriman & pengemasan cepat, kurir pun OK. Kualitas barang sangat OK dan sesuai. Terima kasih banyak shopee & seller.","5","https://shp.ee/2ktwuwx ","puas"
"3","CHARM EAU DE TOILETTE","wanginya enak,kalem,pengemasan aman bgt,pengiriman cepat, terima kasih","5","https://shp.ee/2ktwuwx ","puas"
"4","CHARM EAU DE TOILETTE","Keras sekali wanginya, sampai bikin pusing","2","https://shp.ee/2ktwuwx ","kecewa"
"5","Cityscape perfume","Aroma nya cukup strong tapi enak banget setelah agak lama di semprot. Packaging juga ok banget krn material kaca jadi ada kardus nya.","5","https://shp.ee/v6b4jcn ","puas"
"6","Cityscape perfume","Bagus aku suka wanginya juga enak tahan lama harganya juga cukup lumayan standar aku suka","5","https://shp.ee/v6b4jcn ","puas"
"7","Cityscape perfume","lumayan si klo kalian suka yg soft"" fresh atau gampang pusing gitu g begitu rekomend tp lama"" enak","4","https://shp.ee/v6b4jcn ","puas"
"8","Cityscape perfume","Aku kurang suka sama wanginya, kukira wanginya bakal seger ternyata lebih ke manis","3","https://shp.ee/v6b4jcn ","puas"
"9","Cityscape perfume","Wanginya kalem, tapi kayanya terlalu byk alkohol, biasanya yg banyak alkoholnya wanginya gk tahan lama,","3","https://shp.ee/v6b4jcn ","puas"
"10","Cityscape perfume","Pengiriman buset lama amat orang banyar ongkir mahal","2","https://shp.ee/v6b4jcn ","kecewa"
"11","Cityscape perfume","untuk harga segini biasa sih, wanginya b aja tapi unik dan gak tahan lama, dikulit baju rambut cuma tahan 30menitan, ini aku dapet yang bersegel untungnya dulu dapet parfum yng gak bersegel dan kotaknya lusuh penjual malah nyalahin ekspedisi padahal salahnya orng gudang yang kirim barang jelek, ","2","https://shp.ee/v6b4jcn ","kecewa"
"12","Cityscape perfume","tidak suka wangi cepat hilang","2","https://shp.ee/v6b4jcn ","kecewa"
"13","Cityscape perfume","Sayang barang yg di kirim salah.. mohon maaf kasih bintangnya sedikit.","2","https://shp.ee/v6b4jcn ","kecewa"
"14","Cityscape perfume","Dikasih barang rusak. Ada yg kesumbat di selangnya sehingga parfumnya gabisa keluar. Udah coba segala cara masih gabisa. Sudah chat admin tapi cuma maaf aja. Nyesel bgt beli di miniso","1","https://shp.ee/v6b4jcn ","kecewa"
"15","Cityscape perfume","Produk bagus, cuma packingnya gak benar. Jd parfum smpai sama saya tinggal setengah botol lg.","1","https://shp.ee/v6b4jcn ","kecewa"
"16","Cityscape perfume","barangnya pecah","1","https://shp.ee/v6b4jcn ","kecewa"
"17","Cityscape perfume","Saya mesen nya yang lain, malah di kirim yang lain.","1","https://shp.ee/v6b4jcn ","kecewa"
"18","Cityscape perfume","wanginya ga tahan lama cuman kuat 3 jam di baju dan sekitar 1 jam di kulit. pengirimannya lama banget dan melebihi maksimal waktu pengiriman,","1","https://shp.ee/v6b4jcn ","kecewa"
"19","Cityscape perfume","barang pecah dibagian atas","1","https://shp.ee/v6b4jcn ","kecewa"
"20","Cityscape perfume","I don't like","1","https://shp.ee/v6b4jcn ","kecewa"
"21","Cityscape perfume","barangnya pecah","1","https://shp.ee/v6b4jcn ","kecewa"
"22","Cityscape perfume","Barang yang dikirim tidak sesuai pesanan","1","https://shp.ee/v6b4jcn ","kecewa"
"23","EDP British Pear Wild StrawberryÂ ","waktu itu pernah cobain wanginya di offline storenya wanginya enak banget dan tahan lama jadi pengen beli kalo di online store lebih murah","4","https://shp.ee/m2y7skq ","puas"
"24","EDP British Pear Wild StrawberryÂ ","Wanginya super strong pas pertama semprot. Wangi yang pasaran ternyata","4","https://shp.ee/m2y7skq ","puas"
"25","EDP British Pear Wild StrawberryÂ ","buat cewe2 yg girly banget aromanya ga cocok. ini kalau menurutku lebih maskulin.","4","https://shp.ee/m2y7skq ","puas"
"26","EDP British Pear Wild StrawberryÂ ","baru pertamakali nyoba dan wanginya soft. tahan lama sih, dipake di pergelangan tgn bahkan udh cuci tangan kena air pun wangi nya ttp ga ilang dan nempel terus. makin lama wanginya mulai soft kaya peach romance gitu, ga nyengat dan elegant bgt. pengemasan nya juga lumayan cpet","4","https://shp.ee/m2y7skq ","puas"
